candidate_id,target_id,host_name,rank,period_days,transit_time_bkjd,duration_hours,depth_fraction,depth_error_fraction,power,snr,feature_period_days,feature_duration_hours,feature_depth_fraction,feature_depth_error_fraction,feature_snr,feature_power,feature_duty_cycle,feature_odd_even_mismatch,feature_secondary_depth_fraction,feature_secondary_to_primary_ratio,feature_robust_scatter,feature_transit_count,feature_primary_point_count,rf_v2_probability,decision_threshold,model_pass,catalog_status,score_provenance,centroid_available,centroid_shift_pixels,centroid_shift_significance,centroid_in_transit_points,odd_even_status,secondary_eclipse_status,centroid_status,sanity_no_fail,global_rank,shortlist_rank,independent_confirmation_required,figure_path
2011905-r5,2011905,KIC 2011905,5,11.575636177370138,121.28930751924781,8.0,0.00025588813711840746,6.296492638112822e-06,40.63978977272369,40.63978977272369,11.575636177370138,8.0,0.00025588813711840746,6.296492638112822e-06,40.63978977272369,40.63978977272369,0.028796113511669053,0.18137677552896742,-2.9391539553724755e-05,-0.09479598291381523,0.0003100504752447831,19.0,299.0,0.8777402615871795,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.00703831603028184,0.05020707457111658,300,pass,pass,pass,True,11,11,True,reports/candidate_figures/rank_11_2011905-r5.png
6268872-r5,6268872,KIC 6268872,5,24.246530437864006,154.97947622727176,8.0,0.00023204989794268767,1.0552942271346666e-05,21.989118482411225,21.989118482411225,24.246530437864006,8.0,0.00023204989794268767,1.0552942271346666e-05,21.989118482411225,21.989118482411225,0.013747671411691604,0.02853699933524713,-3.781710120831505e-06,-0.017654039582786142,0.00021421216957726337,11.0,173.0,0.8760661772134457,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.08571565378578304,0.9530976257249553,173,pass,pass,pass,True,12,12,True,reports/candidate_figures/rank_12_6268872-r5.png
8765712-r5,8765712,KIC 8765712,5,21.858360164844928,138.15361729546956,8.0,0.00017149186324787524,8.11010408256689e-06,21.145457752694735,21.145457752694735,21.858360164844928,8.0,0.00017149186324787524,8.11010408256689e-06,21.145457752694735,21.145457752694735,0.01524969534857594,0.2818658324412359,1.575662219743812e-05,0.08148044015704373,0.00019337919833360166,11.0,180.0,0.8585131727602203,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.007607930949706857,0.04854610855359964,180,pass,pass,pass,True,13,13,True,reports/candidate_figures/rank_13_8765712-r5.png
8163439-r4,8163439,KIC 8163439,4,24.41127942225641,141.31406028110214,8.0,0.00015228156651557286,5.699248486585989e-06,26.719587130476885,26.719587130476885,24.41127942225641,8.0,0.00015228156651557286,5.699248486585989e-06,26.719587130476885,26.719587130476885,0.013654889920657927,0.057561058042072344,-2.072434272015755e-05,-0.0881159967451597,0.00023519387495660326,8.0,129.0,0.8463194025907927,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.00822946973797497,0.024177192658196185,129,pass,pass,pass,True,14,14,True,reports/candidate_figures/rank_14_8163439-r4.png
9767793-r3,9767793,KIC 9767793,3,10.283070078981199,141.07888379575257,8.0,0.0001762845772949913,6.2958422883854585e-06,28.000157758112888,28.000157758112888,10.283070078981199,8.0,0.0001762845772949913,6.2958422883854585e-06,28.000157758112888,28.000157758112888,0.032415740705168714,0.3587632187535819,3.787628660723019e-05,0.13820889798946756,0.0002740509993077046,28.0,452.0,0.8426432151163219,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.005213921082138707,0.053575351913351256,452,pass,pass,pass,True,15,15,True,reports/candidate_figures/rank_15_9767793-r3.png
9650424-r5,9650424,KIC 9650424,5,3.0536097075140263,123.28054998932008,4.0,0.00012461676031457551,4.805980523471262e-06,25.929518379439326,25.929518379439326,3.0536097075140263,4.0,0.00012461676031457551,4.805980523471262e-06,25.929518379439326,25.929518379439326,0.054580212479856054,0.1338776023785008,-2.2076655549430058e-05,-0.05894916972301784,0.0003745032483605923,71.0,576.0,0.8321834593811631,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.0010846038080322968,0.014602694456603109,576,pass,pass,pass,True,16,16,True,reports/candidate_figures/rank_16_9650424-r5.png
8300900-r3,8300900,KIC 8300900,3,30.20882541430702,132.14729298264476,8.0,0.00029408274386760486,1.0480459299511526e-05,28.060100751625598,28.060100751625598,30.20882541430702,8.0,0.00029408274386760486,1.0480459299511526e-05,28.060100751625598,28.060100751625598,0.011034303014491431,0.09407272806330204,-2.486953803204628e-05,-0.0739313002366258,0.00024552737120960884,8.0,132.0,0.8299269988414245,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.0014878372239556584,0.0027930319367176306,132,pass,pass,pass,True,17,17,True,reports/candidate_figures/rank_17_8300900-r3.png
7976673-r2,7976673,KIC 7976673,2,4.979589989884128,123.85111722656438,4.0,0.00010654437589578938,5.83039135325393e-06,18.273966435602503,18.273966435602503,4.979589989884128,4.0,0.00010654437589578938,5.83039135325393e-06,18.273966435602503,18.273966435602503,0.03346995776866057,0.21977533715050596,2.0910318923927917e-05,0.08380460086138543,0.0002495127798354893,43.0,345.0,0.8270405132711189,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.002511384274984641,0.015810445011644043,345,pass,pass,pass,True,18,18,True,reports/candidate_figures/rank_18_7976673-r2.png
4283320-r2,4283320,KIC 4283320,2,11.693914024466736,128.19299189446562,8.0,0.00012975760440087788,4.654981092136806e-06,27.875001387237518,27.875001387237518,11.693914024466736,8.0,0.00012975760440087788,4.654981092136806e-06,27.875001387237518,27.875001387237518,0.028504855828075402,0.4000558884064145,2.2048621778236743e-05,0.14512844501811606,0.00015192488126972257,19.0,307.0,0.8036010331756218,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.029384632942592113,0.20462392938678428,307,pass,pass,pass,True,19,19,True,reports/candidate_figures/rank_19_4283320-r2.png
3655287-r2,3655287,KIC 3655287,2,3.7246847394906553,134.36241294396459,8.0,0.00010500150290586384,4.350305261087901e-06,24.13658274628885,24.13658274628885,3.7246847394906553,8.0,0.00010500150290586384,4.350305261087901e-06,24.13658274628885,24.13658274628885,0.089493032738904,0.09467643467369759,-1.7366421951603428e-06,-0.006422720523424552,0.0002703904348362299,76.0,1208.0,0.7812228646319523,0.22110738840296026,True,unvalidated_candidate_requires_independent_confirmation,rf_v2_scaleup_full_training_model_probability_not_independently_calibrated,True,0.0020533482798239995,0.1271664769218031,1209,pass,pass,pass,True,20,20,True,reports/candidate_figures/rank_20_3655287-r2.png
