sample_id,target_id,host_name,candidate_rank,label,label_source,matched_planet,negative_category,period_days,duration_hours,depth_fraction,depth_error_fraction,snr,power,duty_cycle,odd_even_mismatch,secondary_depth_fraction,secondary_to_primary_ratio,robust_scatter,transit_count,primary_point_count
11673802-r1,11673802,Kepler-1004,1,1,recovered_confirmed_planet,Kepler-1004 b,,5.278063221355375,8.0,0.00019661266949608922,5.715788749726774e-06,34.39816936997325,34.39816936997325,0.06315447908707227,0.017652025232516595,-2.1562253043505564e-05,-0.10320050772903694,0.00020893553256655844,40.0,633.0
11804465-r1,11804465,Kepler-12,1,1,recovered_confirmed_planet,Kepler-12 b,,4.438944120700799,4.0,0.014106313645650776,7.143972568726856e-06,1974.5755614183013,1974.5755614183013,0.037546466487249706,0.007956710587712945,2.284311334888045e-05,0.0014759161272393912,0.0001603953296070879,47.0,381.0
11823054-r1,11823054,Kepler-181,1,1,recovered_confirmed_planet,Kepler-181 c,,4.302377192762173,2.0,0.0005859757338346917,1.87357567118169e-05,31.275797548390916,31.275797548390916,0.01936913701418922,0.0221705421460737,2.5701938341171626e-05,0.04294598907665151,0.00034274675903922416,65.0,263.0
11853905-r1,11853905,Kepler-4,1,1,recovered_confirmed_planet,Kepler-4 b,,3.2166289023095316,4.0,0.0004403163033447187,3.253654833789893e-06,135.3297524900124,135.3297524900124,0.05181407981100972,0.04758759353875497,-2.0109186182892813e-07,-0.0003415667621124642,9.25444938707749e-05,65.0,520.0
11904151-r1,11904151,Kepler-10,1,1,recovered_confirmed_planet,Kepler-10 b,,0.8375068116505512,2.0,0.00014306069513041875,1.2467112965626191e-06,114.75046029089476,114.75046029089476,0.09950167828378699,0.03080763166650767,3.6127056055601514e-06,0.02374539447018641,6.102476793272444e-05,253.0,1021.0
12019440-r1,12019440,Kepler-485,1,1,recovered_confirmed_planet,Kepler-485 b,,3.2426545887199842,2.0,0.01429780937092863,1.744613324075304e-05,819.5403057870652,819.5403057870652,0.025699108879255805,0.01607121498974494,7.642609872959838e-06,0.0004887891914982811,0.0004321053008655675,88.0,356.0
12024120-r1,12024120,Kepler-507,1,1,recovered_confirmed_planet,Kepler-507 b,,3.567481681223316,4.0,5.7931437173737164e-05,3.0834302368345375e-06,18.78798374670212,18.78798374670212,0.046718296422902844,0.34523644137259474,-2.4074410687191516e-06,-0.023898740071722428,0.00010073506224571623,58.0,457.0
12058931-r1,12058931,Kepler-182,1,1,recovered_confirmed_planet,Kepler-182 c,,20.69367284609918,8.0,0.0005838400289326835,2.170929833678536e-05,26.893546713271462,26.893546713271462,0.016107983141144887,0.24440076198203464,6.0551925968210796e-05,0.09638192125705891,0.0003584386486307243,14.0,224.0
12252424-r1,12252424,Kepler-113,1,1,recovered_confirmed_planet,Kepler-113 b,,4.752205046011164,2.0,0.0005799786237474817,1.1042643897588916e-05,52.52171754575152,52.52171754575152,0.017535719213816425,0.0923945270089366,1.8058328157488646e-05,0.026754222809531724,0.00016737808765526644,44.0,177.0
12302530-r1,12302530,Kepler-155,1,1,recovered_confirmed_planet,Kepler-155 b,,5.927657310742725,4.0,0.00037585297735142124,1.2035492089337251e-05,31.228717077917004,31.228717077917004,0.02811678508550347,0.20420958151130988,-2.844081563591061e-05,-0.07349645069419324,0.00038696855926074867,50.0,404.0
12404305-r1,12404305,Kepler-573,1,1,recovered_confirmed_planet,Kepler-573 b,,22.17033679509839,4.0,0.0005568659187334866,2.0636069290888166e-05,26.985076997166807,26.985076997166807,0.0075175523135721945,0.07763871465236201,2.8535350111047464e-05,0.04773375714483535,0.00022673768593808028,13.0,107.0
12404954-r2,12404954,Kepler-537,2,1,recovered_confirmed_planet,Kepler-537 b,,3.2494380619457237,8.0,0.00010383544836929139,3.2764351585995756e-06,31.691592643534282,31.691592643534282,0.10258183937617121,0.6222886695861022,-4.5618989819029565e-06,-0.020057301528472026,0.0002274433066395888,91.0,1451.0
12470954-r1,12470954,Kepler-554,1,1,recovered_confirmed_planet,Kepler-554 b,,1.9012541893079242,4.0,0.0009551076882720633,8.317332057638466e-06,114.83342033878667,114.83342033878667,0.08766143296564412,0.02887629181452381,-6.164196192592897e-06,-0.010193643093415892,0.0003146833726047838,152.0,1210.0
12600735-r1,12600735,Kepler-596,1,1,recovered_confirmed_planet,Kepler-596 b,,21.260090562067834,8.0,0.00019957735363642013,1.4591684901127247e-05,13.677471449578947,13.677471449578947,0.01567882941797366,0.21411461726039532,4.3697650587093406e-05,0.19103095565496425,0.00022874643765076014,13.0,211.0
12784167-r1,12784167,Kepler-1522,1,1,recovered_confirmed_planet,Kepler-1522 b,,1.847002002829541,4.0,0.00013134253597253085,7.30828114269623e-06,17.971741016530583,17.971741016530583,0.09023632156940777,0.10816147821821773,4.386082123497559e-06,0.016530047052111172,0.0002653399660430719,156.0,1252.0
12834874-r1,12834874,Kepler-574,1,1,recovered_confirmed_planet,Kepler-574 b,,7.649889526396285,8.0,0.00019532091637395927,1.2339842994569642e-05,15.828476623236904,15.828476623236904,0.043573613995751416,0.06764469525304373,2.146893288723639e-05,0.06281362513412916,0.00034178783411071526,40.0,645.0
1871056-r2,1871056,Kepler-264,2,1,recovered_confirmed_planet,Kepler-264 b,,41.036700084867924,8.0,0.00020515244239826944,1.357574764794144e-05,15.11168649554102,15.11168649554102,0.00812281037812415,0.28666353114206655,1.3087254715493657e-06,0.00670527187054557,0.00015781492772825396,5.0,80.0
2441495-r4,2441495,Kepler-479,4,1,recovered_confirmed_planet,Kepler-479 b,,12.457394386785687,8.0,0.00011123232769347794,9.316129925318012e-06,11.939757021978302,11.939757021978302,0.026757869501741086,0.37473484604405927,-7.34792343903834e-06,-0.03952503128704215,0.00018590556919931587,18.0,289.0
2444412-r1,2444412,Kepler-1710,1,1,recovered_confirmed_planet,Kepler-1710 b,,14.887457913685102,8.0,0.0003758618791596395,6.095551667252677e-06,61.661667339954484,61.661667339954484,0.02239021163088703,0.23550471458291797,-4.583071360131363e-05,-0.18144076962533076,0.00019233066719234797,14.0,224.0
2571238-r4,2571238,Kepler-19,4,1,recovered_confirmed_planet,Kepler-19 b,,9.315056592231278,8.0,0.0001455647464450139,3.2386849880320354e-06,44.94563286732783,44.94563286732783,0.03578435944354134,0.33354590322455935,4.103059452753577e-06,0.04930194762500139,8.322307029251892e-05,22.0,357.0
2987027-r1,2987027,Kepler-489,1,1,recovered_confirmed_planet,Kepler-489 b,,17.24733451042096,4.0,0.002050955120726782,1.7813997246494598e-05,115.1316626104433,115.1316626104433,0.00966332893734771,0.1724368038771184,2.7203913285700487e-05,0.10789019794556814,0.0002521444376200438,17.0,124.0
2989404-r1,2989404,Kepler-323,1,1,recovered_confirmed_planet,Kepler-323 b,,1.678820118942134,2.0,0.00012099872964716556,4.109409400285439e-06,29.44431130146366,29.44431130146366,0.04963803589978641,0.1759767893631634,4.597742684797623e-06,0.03876060265527913,0.00011283898741856932,130.0,520.0
2989404-r2,2989404,Kepler-323,2,1,recovered_confirmed_planet,Kepler-323 c,,3.556370606699939,4.0,0.0001148155119719728,4.371128234672556e-06,26.26679104521254,26.26679104521254,0.04686425715944199,0.19498928679063948,-1.668432581003465e-05,-0.1385086028310513,0.00011313638315219383,57.0,457.0
3217264-r3,3217264,Kepler-149,3,1,recovered_confirmed_planet,Kepler-149 b,,29.272271582024047,8.0,0.0005113832064900786,1.568327163840372e-05,32.606921456225464,32.606921456225464,0.011387340828650675,0.6963011875996904,-3.0557060844760286e-05,-0.13470540108657594,0.00022684362021327628,10.0,161.0
3247268-r1,3247268,Kepler-418,1,1,recovered_confirmed_planet,Kepler-418 c,,12.225250142676137,4.0,0.0009682938943103726,2.3568027300239982e-05,41.08506333495773,41.08506333495773,0.01363298621472484,0.08870387105956631,-6.33384702795059e-05,-0.08155942935386654,0.0003676939821245399,24.0,195.0
3338885-r1,3338885,Kepler-975,1,1,recovered_confirmed_planet,Kepler-975 b,,1.9712111253434508,4.0,0.00016021006189588584,7.65858355848912e-06,20.91901990392228,20.91901990392228,0.08455038860316282,0.09145765270595516,-2.6646231280347266e-05,-0.08095148002894421,0.0003291629908535323,146.0,1180.0
3353050-r2,3353050,Kepler-541,2,1,recovered_confirmed_planet,Kepler-541 b,,5.09028008730324,8.0,0.00010770232383404859,5.423397388547867e-06,19.858829460196766,19.858829460196766,0.06548428133940438,0.12131283796509224,-1.0400316054370862e-05,-0.06247603899758141,0.00016646887704858308,42.0,643.0
3531558-r1,3531558,Kepler-467,1,1,recovered_confirmed_planet,Kepler-467 b,,24.943109807863237,8.0,0.00010479131487892478,6.317417296478507e-06,16.58768290284357,16.58768290284357,0.013363743971822271,0.2698483724800962,1.4222734951885307e-05,0.12081544636486224,9.622347842907536e-05,9.0,146.0
3544595-r1,3544595,Kepler-93,1,1,recovered_confirmed_planet,Kepler-93 b,,4.732538958199689,4.0,9.924505114010112e-05,1.1127223407386651e-06,89.19120925910293,89.19120925910293,0.03521717795431916,0.7266784754854878,-5.632662124499532e-06,-0.0953024141189155,3.940164647937816e-05,46.0,375.0
3632418-r2,3632418,Kepler-21,2,1,recovered_confirmed_planet,Kepler-21 b,,2.786055957293354,4.0,5.17715539764564e-05,3.901654547939311e-07,132.69128094336273,132.69128094336273,0.05982172261485476,0.22354361699723463,4.987595346395146e-06,0.05992417673006233,8.323177085707053e-05,78.0,632.0
3642289-r1,3642289,Kepler-135,1,1,recovered_confirmed_planet,Kepler-135 b,,5.99689015972878,4.0,0.00013553708635791228,5.381678232099515e-06,25.184910823818647,25.184910823818647,0.027792182652584128,0.0998430748359564,-9.294963210670915e-06,-0.06761042918666574,0.00010128102624549111,35.0,281.0
3762468-r1,3762468,Kepler-493,1,1,recovered_confirmed_planet,Kepler-493 b,,3.004339084764576,4.0,0.005803874291054141,1.5090550939812192e-05,384.60320727868486,384.60320727868486,0.05547531818623825,0.10212444429972359,0.0015333784560846997,0.27028947762945676,0.003763374261748247,97.0,782.0
3831053-r2,3831053,Kepler-1719,2,1,recovered_confirmed_planet,Kepler-1719 b,,6.138446941476467,8.0,0.00013296727562640674,5.231540481211162e-06,25.41646692861359,25.41646692861359,0.05430255185249796,0.047892215714265905,1.1534235724308672e-05,0.06969504152238223,0.00016549578667808825,47.0,745.0
3847907-r1,3847907,Kepler-497,1,1,recovered_confirmed_planet,Kepler-497 b,,3.570584285399386,4.0,0.0012009972195804186,1.1364472450293497e-05,105.67997985242174,105.67997985242174,0.04667770127936477,0.15914582650070858,-2.8895685848295827e-05,-0.03525466745628709,0.0003149414247688869,85.0,678.0
